id,title,url,summary,pub_date,source,PESTEL_category,cleaned_summary,Sentiment
1,"Profil Ahmad Rafif Raya, Influencer Saham yang Gagal Kelola Rp71 M",https://www.cnnindonesia.com/ekonomi/20240708095626-92-1118695/profil-ahmad-rafif-raya-influencer-saham-yang-gagal-kelola-rp71-m,Profil influencer saham Ahmad Rafif Raya yang diburu investor karena gagal mengelola dana yang dititipkan para pemilik modal sebesar Rp71 miliar,2024-07-08 03:38:04,CNN Ekonomi,Technological,profil influencer saham ahmad rafif raya diburu investor gagal mengelola dana dititipkan pemilik modal rp miliar,Neutral
2,PODCAST: Bos BTN Blak-blakan Gen Z dan Milenial Mampu Punya Rumah,https://www.cnnindonesia.com/ekonomi/20240708070647-78-1118647/podcast-bos-btn-blak-blakan-gen-z-dan-milenial-mampu-punya-rumah,"PT Bank Tabungan Negara (Persero) Tbk atau BTN yakin semua orang bisa memiliki rumah, termasuk kaum milenial dan gen Z.",2024-07-08 03:01:57,CNN Ekonomi,Economic,pt bank tabungan negara persero tbk btn orang memiliki rumah kaum milenial gen z,Neutral
3,Harga Minyak Dunia Merangkak Naik 'Diterjang' Badai Beryl di AS,https://www.cnnindonesia.com/ekonomi/20240708090455-85-1118672/harga-minyak-dunia-merangkak-naik-diterjang-badai-beryl-di-as,Harga minyak dunia merangkak naik Senin (8/7) akibat adanya kekhawatiran pasokan di AS usai pelabuhan terbesar di Texas ditutup imbas badai Beryl.,2024-07-08 02:45:00,CNN Ekonomi,Social,harga minyak dunia merangkak senin akibat kekhawatiran pasokan a pelabuhan terbesar texas ditutup imbas badai beryl,Neutral
4,Rupiah Menguat ke Rp16.271 Pagi Ini,https://www.cnnindonesia.com/ekonomi/20240708091522-78-1118673/rupiah-menguat-ke-rp16271-pagi-ini,"Nilai tukar rupiah dibuka menguat 6 poin atau 0,04 persen ke posisi Rp16.271 per dolar AS pada Senin (8/7) pagi.",2024-07-08 02:24:20,CNN Ekonomi,Social,nilai tukar rupiah dibuka menguat poin persen posisi rp dolar a senin pagi,Neutral
5,"Tuntut Upah Naik, 8.000 Buruh Samsung Korsel Mogok Kerja Hari Ini",https://www.cnnindonesia.com/ekonomi/20240708081405-92-1118660/tuntut-upah-naik-8000-buruh-samsung-korsel-mogok-kerja-hari-ini,Ribuah buruh Samsung Electronics di Korsel mogok kerja per hari ini (8/7) hingga tiga hari ke depan. Mereka menuntut upah naik dan cuti tambahan.,2024-07-08 01:30:05,CNN Ekonomi,Legal,ribuah buruh samsung electronics korsel mogok kerja menuntut upah cuti tambahan,Neutral
6,"Keuntungan Family Office versi Jokowi-Luhut, Meski Kasihan Sri Mulyani",https://www.cnnindonesia.com/ekonomi/20240708073953-78-1118655/keuntungan-family-office-versi-jokowi-luhut-meski-kasihan-sri-mulyani,"Keuntungan family office diglorifikasi oleh Presiden Jokowi, Menko Marves Luhut Binsar Pandjaitan hingga Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno.",2024-07-08 01:01:48,CNN Ekonomi,Legal,keuntungan family office diglorifikasi presiden jokowi menko marves luhut binsar pandjaitan menteri pariwisata ekonomi kreatif sandiaga uno,Neutral
7,"Rekor Penumpang Whoosh Tembus 24 Ribu, Terbanyak dalam Sejarah",https://www.cnnindonesia.com/ekonomi/20240708071044-92-1118648/rekor-penumpang-whoosh-tembus-24-ribu-terbanyak-dalam-sejarah,"Rekor penumpang Whoosh tembus 24.135 orang dalam sehari, menjadi yang terbanyak dalam sejarah Indonesia kereta cepat ini semenjak beroperasi.",2024-07-08 00:30:58,CNN Ekonomi,Environmental,rekor penumpang whoosh tembus orang sehari sejarah indonesia kereta cepat semenjak beroperasi,Neutral
8,Koleksi Saham Cuan dari Keuangan hingga Properti di Tengah Jenuh Beli,https://www.cnnindonesia.com/ekonomi/20240708061759-92-1118639/koleksi-saham-cuan-dari-keuangan-hingga-properti-di-tengah-jenuh-beli,"Analis memperkirakan ada tiga sektor saham yang masih akan bullish dalam jangka pendek. Ini meliputi sektor keuangan, properti, dan industri.",2024-07-07 23:40:29,CNN Ekonomi,Technological,analis sektor saham bullish jangka pendek meliputi sektor keuangan properti industri,Neutral
9,IHSG Diprediksi Langsung Tancap Gas Hari Ini,https://www.cnnindonesia.com/ekonomi/20240708061222-92-1118638/ihsg-diprediksi-langsung-tancap-gas-hari-ini,IHSG diprediksi bakal langsung menguat pada perdagangan Senin (8/7) jelang rilis kinerja emiten sepanjang semester pertama 2024.,2024-07-07 23:17:39,CNN Ekonomi,Social,ihsg diprediksi langsung menguat perdagangan senin jelang rilis kinerja emiten semester,Neutral
10,Lemari Pakaian Mulai Rp700 Ribuan Aja di Transmart Full Day Sale,https://www.cnnindonesia.com/ekonomi/20240705172358-97-1118078/lemari-pakaian-mulai-rp700-ribuan-aja-di-transmart-full-day-sale,"Transmart kasih diskon gede dan harga spesial buat sejumlah produk furnitur, termasuk juga lemari pakaian yang harganya mulai Rp700 ribuan!",2024-07-07 10:00:00,CNN Ekonomi,Political,transmart kasih diskon gede harga spesial produk furnitur lemari pakaian harganya rp ribuan,Neutral
